step,px_N,px_E,pz,mx_N,mx_E,mz
0,-299.7,314.9,2990.8,1772.0,-235.0,2990.9
1,-258.6,308.0,2990.4,1792.8,-238.5,2990.4
2,-217.3,301.0,2990.0,1813.9,-242.0,2989.8
3,-175.8,294.0,2989.8,1835.4,-245.6,2989.0
4,-134.0,287.0,2989.8,1857.3,-249.2,2988.0
5,-92.0,280.0,2989.8,1879.4,-252.9,2986.9
6,-49.8,272.9,2989.8,1901.9,-256.7,2985.7
7,-7.3,265.8,2989.7,1924.8,-260.5,2984.5
8,35.5,258.7,2989.4,1948.0,-264.4,2983.1
9,78.5,251.5,2988.9,1971.5,-268.3,2981.8
10,121.9,244.3,2988.2,1995.3,-272.3,2980.5
11,165.4,237.0,2987.3,2019.5,-276.3,2979.2
12,209.3,229.6,2986.2,2044.0,-280.4,2977.9
13,253.4,222.1,2985.1,2068.9,-284.5,2976.7
14,297.7,214.6,2983.8,2094.0,-288.7,2975.6
15,342.3,207.0,2982.3,2119.5,-293.0,2974.6
16,387.1,199.4,2980.7,2145.3,-297.3,2973.8
17,432.2,191.7,2979.1,2171.3,-301.6,2973.1
18,477.5,183.9,2977.3,2197.7,-306.0,2972.6
19,523.0,176.1,2975.5,2224.4,-310.5,2972.4
20,568.7,168.3,2973.5,2251.4,-315.0,2972.3
21,614.7,160.4,2971.4,2278.7,-319.5,2972.5
22,661.0,152.4,2969.2,2306.3,-324.1,2972.9
23,707.5,144.4,2967.0,2334.1,-328.8,2973.5
24,754.3,136.4,2964.8,2362.3,-333.5,2974.5
25,801.3,128.3,2962.7,2390.7,-338.2,2975.6
26,848.6,120.2,2960.8,2419.4,-343.0,2977.1
27,896.1,111.9,2959.3,2448.3,-347.8,2978.8
28,943.8,103.6,2958.3,2477.6,-352.7,2980.8
29,991.7,95.2,2957.8,2507.0,-357.6,2983.1
30,1039.6,86.6,2958.1,2536.7,-362.6,2985.5
31,1087.7,77.7,2959.1,2566.7,-367.5,2988.2
32,1135.9,68.7,2960.7,2596.9,-372.6,2991.1
33,1184.2,59.5,2963.0,2627.3,-377.6,2994.1
34,1232.6,50.0,2966.0,2657.9,-382.7,2997.2
35,1281.1,40.3,2969.5,2688.7,-387.9,3000.5
36,1329.8,30.5,2973.6,2719.7,-393.1,3003.7
37,1378.6,20.6,2978.2,2750.9,-398.3,3007.0
38,1427.6,10.6,2983.3,2782.3,-403.5,3010.2
39,1476.7,0.6,2989.1,2814.0,-408.8,3013.4
40,1525.9,-9.5,2995.5,2845.8,-414.1,3016.4
41,1575.3,-19.6,3002.3,2877.8,-419.4,3019.2
42,1624.8,-29.8,3009.6,2909.9,-424.8,3021.7
43,1674.5,-39.9,3017.1,2942.3,-430.1,3024.0
44,1724.3,-50.1,3025.0,2974.8,-435.6,3025.8
45,1774.1,-60.4,3033.1,3007.5,-441.0,3027.3
46,1824.0,-70.6,3041.3,3040.4,-446.5,3028.3
47,1874.1,-80.7,3049.5,3073.4,-452.0,3028.8
48,1924.2,-90.7,3057.3,3106.6,-457.5,3028.8
49,1974.4,-100.6,3064.5,3140.0,-463.1,3028.3
50,2024.7,-110.2,3071.0,3173.5,-468.6,3027.2
51,2075.2,-119.8,3076.6,3207.2,-474.2,3025.5
52,2125.8,-129.4,3081.2,3241.1,-479.9,3023.2
53,2176.5,-139.2,3084.7,3275.1,-485.5,3020.5
54,2227.4,-149.0,3087.3,3309.3,-491.2,3017.2
55,2278.4,-158.9,3088.9,3343.6,-496.9,3013.4
56,2329.6,-168.8,3089.5,3378.2,-502.7,3009.2
57,2380.9,-178.8,3089.2,3412.9,-508.5,3004.7
58,2432.4,-188.9,3087.8,3447.7,-514.3,2999.8
59,2484.1,-199.1,3085.5,3482.8,-520.1,2994.7
60,2535.9,-209.3,3082.2,3518.0,-525.9,2989.5
61,2588.0,-219.5,3078.0,3553.4,-531.8,2984.3
62,2640.2,-229.9,3072.9,3588.9,-537.7,2979.1
63,2692.5,-240.2,3066.9,3624.6,-543.7,2974.2
64,2745.1,-250.6,3059.9,3660.4,-549.6,2969.5
65,2797.9,-261.0,3052.0,3696.3,-555.6,2965.3
66,2850.9,-271.5,3043.1,3732.3,-561.6,2961.5
67,2904.1,-282.0,3033.2,3768.5,-567.6,2958.1
68,2957.5,-292.6,3022.5,3804.7,-573.6,2955.3
69,3011.1,-303.2,3010.8,3841.1,-579.7,2953.0
70,3065.0,-313.9,2998.3,3877.5,-585.8,2951.4
71,3119.0,-324.6,2985.0,3914.0,-591.8,2950.4
72,3173.3,-335.4,2971.0,3950.6,-597.9,2950.0
73,3227.7,-346.2,2956.6,3987.3,-604.0,2950.2
74,3282.5,-357.1,2942.0,4024.0,-610.1,2951.1
75,3337.5,-368.1,2927.5,4060.8,-616.3,2952.6
76,3392.6,-379.2,2913.7,4097.6,-622.4,2954.7
77,3447.9,-390.5,2900.6,4134.5,-628.5,2957.5
78,3503.3,-402.1,2888.4,4171.5,-634.7,2960.9
79,3558.8,-413.8,2877.1,4208.4,-640.9,2965.0
80,3614.4,-425.9,2866.6,4245.4,-647.0,2969.7
81,3670.2,-438.1,2857.0,4282.4,-653.2,2975.0
82,3726.0,-450.3,2848.2,4319.5,-659.3,2980.9
83,3782.1,-462.7,2840.3,4356.5,-665.5,2987.3
84,3838.2,-475.1,2833.3,4393.6,-671.7,2994.1
85,3894.4,-487.6,2827.1,4430.6,-677.9,3001.1
86,3950.8,-500.0,2822.0,4467.7,-684.0,3008.4
87,4007.2,-512.5,2817.8,4504.9,-690.2,3015.6
88,4063.7,-525.1,2814.6,4542.0,-696.4,3022.8
89,4120.2,-537.8,2812.4,4579.2,-702.6,3029.8
90,4176.6,-550.6,2811.2,4616.4,-708.8,3036.4
91,4233.1,-563.6,2811.1,4653.6,-715.0,3042.6
92,4289.6,-576.9,2811.8,4690.9,-721.2,3048.2
93,4346.0,-590.3,2813.5,4728.1,-727.3,3053.2
94,4402.4,-603.8,2816.1,4765.4,-733.5,3057.5
95,4458.9,-617.3,2819.7,4802.7,-739.7,3061.1
96,4515.3,-630.9,2824.3,4840.0,-745.9,3064.0
97,4571.7,-644.5,2829.8,4877.4,-752.1,3066.1
98,4628.0,-658.0,2836.3,4914.8,-758.3,3067.4
99,4684.4,-671.6,2843.9,4952.2,-764.6,3067.8
100,4740.6,-685.2,2852.5,4989.7,-770.8,3067.4
101,4796.8,-699.0,2862.1,5027.3,-777.0,3066.1
102,4852.8,-712.8,2872.9,5065.0,-783.3,3063.9
