step,p0_N,p0_E,p0_D,p1_N,p1_E,p1_D,t0_N,t0_E,t0_D
0,302,-1039,2991,267,1160,2991,-1498,-200,2991
1,265,-1021,2991,234,1134,2990,-1532,-206,2990
2,227,-1003,2991,201,1107,2988,-1567,-212,2990
3,189,-985,2990,168,1081,2986,-1601,-218,2990
4,151,-967,2990,134,1054,2984,-1636,-224,2990
5,112,-948,2990,99,1028,2982,-1671,-230,2991
6,73,-930,2989,64,1002,2979,-1706,-236,2991
7,35,-911,2989,28,977,2976,-1741,-242,2992
8,-5,-893,2989,-9,953,2972,-1776,-248,2992
9,-44,-874,2988,-46,930,2968,-1812,-254,2993
10,-84,-855,2988,-85,908,2963,-1847,-260,2994
11,-124,-836,2987,-124,887,2958,-1882,-266,2995
12,-164,-816,2987,-164,866,2952,-1918,-272,2996
13,-204,-797,2987,-204,847,2945,-1954,-278,2998
14,-245,-778,2986,-244,828,2938,-1989,-284,2999
15,-286,-758,2986,-285,810,2931,-2025,-290,3000
16,-327,-738,2986,-326,793,2923,-2061,-297,3002
17,-368,-719,2985,-367,777,2914,-2097,-303,3003
18,-410,-699,2985,-409,761,2905,-2133,-309,3004
19,-452,-679,2985,-450,745,2895,-2169,-315,3006
20,-494,-659,2985,-492,730,2885,-2206,-321,3007
21,-536,-638,2984,-535,716,2874,-2242,-328,3008
22,-578,-618,2984,-577,702,2863,-2278,-334,3009
23,-621,-598,2984,-619,688,2852,-2315,-340,3009
24,-664,-577,2984,-662,674,2840,-2352,-346,3010
25,-707,-557,2984,-705,660,2828,-2389,-353,3010
26,-750,-536,2984,-748,646,2815,-2425,-359,3010
27,-794,-515,2984,-791,632,2802,-2462,-365,3010
28,-838,-494,2985,-834,619,2789,-2499,-372,3010
29,-881,-473,2985,-878,605,2775,-2537,-378,3010
30,-925,-452,2985,-921,591,2761,-2574,-384,3009
31,-970,-431,2986,-965,577,2747,-2611,-391,3008
32,-1014,-410,2986,-1009,562,2733,-2649,-397,3007
33,-1059,-389,2986,-1052,547,2719,-2686,-404,3006
34,-1103,-367,2987,-1096,533,2704,-2724,-410,3005
35,-1148,-346,2987,-1140,517,2689,-2762,-417,3003
36,-1194,-324,2988,-1183,502,2675,-2800,-423,3001
37,-1239,-303,2989,-1227,486,2659,-2838,-430,2999
38,-1284,-281,2989,-1271,470,2644,-2876,-436,2997
39,-1330,-259,2990,-1314,453,2629,-2915,-443,2995
40,-1376,-237,2991,-1358,436,2613,-2953,-449,2993
41,-1422,-216,2992,-1401,419,2598,-2992,-456,2991
42,-1468,-194,2993,-1445,401,2582,-3030,-463,2989
43,-1514,-171,2993,-1488,383,2566,-3069,-469,2987
44,-1560,-149,2994,-1531,364,2550,-3108,-476,2986
45,-1607,-127,2995,-1574,344,2534,-3147,-483,2985
